OverallQual,mean_rel_error,median_rel_error,avg_price,count
1,-0.2374874001181021,-0.2374874001181021,50149.999999999956,2
2,-0.10092423646338698,-0.11324483451947706,51770.33333333335,3
3,0.03865432550786939,0.018185930400494685,87473.75000000001,20
4,0.01644595323117083,0.02636547730792475,108420.65517241381,116
5,0.011923831442867563,0.015575778560479103,133523.34760705288,397
6,0.010728585565813607,0.01424409479977512,161603.0347593583,374
7,-0.004931127143669934,-0.00406847624648734,207716.42319749217,319
8,-0.00689692144448616,-0.020144873276309157,274735.53571428574,168
9,0.047580138321581936,0.017649508461650264,367513.0232558139,43
10,0.06890268830066983,0.07464248720446318,438588.38888888893,18
